Sale_Id,Category,Price,Quantity,Sales,Discount_%,Net_Sales,Date,Country,City,Store_Type,Gender,Rating
SL-00046,Arabic tea,2.81,23,64.63,15,54.94,2024-08-13,UAE,Dubai,Hypermarket,Female,2.3
SL-00047,Arabic tea,5.35,95,508.25,30,355.78,2024-04-15,UAE,Abu Dhabi,Convenience Store,Male,3.8
SL-00048,Arabic tea,2.19,61,133.59,5,126.91,2022-07-21,UAE,Abu Dhabi,Online,Male,4.3
SL-00049,Soft drinks,2.09,25,52.25,15,44.41,2023-02-17,UAE,Sharjah,Convenience Store,Female,4.9
SL-00050,Masala chai,6.21,52,322.92,25,242.19,2022-12-05,UAE,Umm Al Quwain,Cafe,Male,1.1
SL-00051,Soft drinks,4.32,34,146.88,0,146.88,2023-07-08,UAE,Dubai,Cafe,Male,3.9
SL-00052,Juice,7.64,66,504.24,0,504.24,2024-11-21,UAE,Ajman,Cafe,Male,1.2
SL-00053,Camel milk,14.24,69,982.56,25,736.92,2023-09-14,UAE,Fujairah,Hypermarket,Male,1.3
SL-00054,Laban,4.26,16,68.16,25,51.12,2024-07-06,UAE,Sharjah,Cafe,Male,2.6
SL-00055,Arabic coffee,7.96,17,135.32,5,128.55,2023-05-17,UAE,Ajman,Online,Female,4.6
SL-00056,Juice,7.29,1,7.29,10,6.56,2023-08-12,UAE,Sharjah,Hypermarket,Male,3.3
SL-00057,Juice,6.65,87,578.55,5,549.62,2021-11-26,UAE,Ras Al Khaimah,Online,Female,4.8
SL-00058,Arabic coffee,5.85,66,386.1,25,289.57,2022-08-20,UAE,Fujairah,Cafe,Male,4.3
SL-00059,Arabic coffee,8.1,26,210.6,5,200.07,2020-10-25,UAE,Dubai,Supermarket,Male,2.9
SL-00060,Juice,6.49,81,525.69,20,420.55,2020-01-23,UAE,Abu Dhabi,Online,Female,2.0
SL-00061,Arabic tea,6.3,14,88.2,30,61.74,2025-10-22,UAE,Ajman,Hypermarket,Male,4.8
SL-00062,Juice,4.3,32,137.6,30,96.32,2025-12-15,UAE,Dubai,Online,Male,2.9
SL-00063,Laban,5.38,97,521.86,15,443.58,2024-12-31,UAE,Ras Al Khaimah,Cafe,Male,4.6
SL-00064,Soft drinks,4.97,61,303.17,15,257.69,2025-11-05,UAE,Sharjah,Hypermarket,Female,2.1
SL-00065,Juice,7.76,36,279.36,15,237.46,2020-11-26,UAE,Dubai,Convenience Store,Male,2.3
SL-00066,Soft drinks,2.6,50,130.0,25,97.5,2025-03-23,UAE,Abu Dhabi,Hypermarket,Male,2.6
SL-00067,Juice,4.37,54,235.98,15,200.58,2024-04-07,UAE,Umm Al Quwain,Cafe,Female,1.1
SL-00068,Juice,4.04,46,185.84,10,167.26,2024-09-12,UAE,Umm Al Quwain,Online,Female,4.8
SL-00069,Laban,5.99,70,419.3,30,293.51,2025-06-12,UAE,Ras Al Khaimah,Hypermarket,Male,2.1
SL-00070,Camel milk,12.67,86,1089.62,25,817.22,2021-06-06,UAE,Umm Al Quwain,Online,Female,4.4
SL-00071,Laban,5.14,51,262.14,20,209.71,2025-03-06,UAE,Ras Al Khaimah,Supermarket,Male,2.7
SL-00072,Soft drinks,2.2,49,107.8,10,97.02,2024-04-01,UAE,Abu Dhabi,Online,Male,4.0
SL-00073,Masala chai,6.76,54,365.04,10,328.54,2020-08-01,UAE,Umm Al Quwain,Supermarket,Male,4.0
SL-00074,Masala chai,4.12,9,37.08,30,25.96,2022-03-27,UAE,Fujairah,Supermarket,Female,4.8
SL-00075,Arabic tea,2.1,20,42.0,5,39.9,2022-06-11,UAE,Abu Dhabi,Online,Female,3.3
SL-00076,Juice,8.2,99,811.8,10,730.62,2021-04-14,UAE,Abu Dhabi,Cafe,Female,4.0
SL-00077,Arabic tea,6.1,40,244.0,0,244.0,2024-03-17,UAE,Ras Al Khaimah,Supermarket,Female,3.3
SL-00078,Juice,9.65,26,250.9,0,250.9,2021-05-10,UAE,Ras Al Khaimah,Hypermarket,Male,4.1
SL-00079,Arabic tea,6.92,6,41.52,10,37.37,2023-10-29,UAE,Ras Al Khaimah,Online,Female,1.3
SL-00080,Camel milk,18.19,63,1145.97,0,1145.97,2021-09-18,UAE,Ajman,Convenience Store,Female,4.3
SL-00081,Juice,5.06,67,339.02,25,254.27,2025-06-03,UAE,Sharjah,Cafe,Female,3.2
SL-00082,Juice,6.61,94,621.34,20,497.07,2020-12-20,UAE,Sharjah,Convenience Store,Female,4.3
SL-00083,Masala chai,7.41,32,237.12,30,165.98,2020-04-27,UAE,Ajman,Cafe,Female,2.5
SL-00084,Juice,9.11,24,218.64,15,185.84,2023-02-05,UAE,Abu Dhabi,Convenience Store,Female,2.4
SL-00085,Laban,3.04,25,76.0,0,76.0,2025-05-04,UAE,Abu Dhabi,Online,Male,4.0
SL-00086,Arabic coffee,12.12,58,702.96,30,492.07,2022-09-23,UAE,Dubai,Supermarket,Male,2.6
SL-00087,Masala chai,6.32,48,303.36,15,257.86,2023-09-16,UAE,Ras Al Khaimah,Cafe,Male,5.0
SL-00088,Masala chai,6.51,35,227.85,10,205.06,2021-05-04,UAE,Sharjah,Hypermarket,Male,1.8
SL-00089,Arabic coffee,10.36,98,1015.28,25,761.46,2025-11-18,UAE,Abu Dhabi,Hypermarket,Male,2.9
SL-00090,Laban,4.13,13,53.69,30,37.58,2020-02-27,UAE,Abu Dhabi,Convenience Store,Male,1.7
SL-00091,Arabic coffee,10.34,36,372.24,0,372.24,2025-07-03,UAE,Dubai,Cafe,Male,4.8
SL-00092,Camel milk,18.47,74,1366.78,10,1230.1,2020-07-29,UAE,Ajman,Online,Male,1.7
SL-00093,Masala chai,7.71,62,478.02,0,478.02,2020-08-07,UAE,Umm Al Quwain,Supermarket,Male,1.3
SL-00094,Soft drinks,2.6,73,189.8,10,170.82,2022-07-13,UAE,Dubai,Hypermarket,Male,4.1
SL-00095,Arabic tea,4.61,58,267.38,15,227.27,2020-09-03,UAE,Sharjah,Cafe,Other,2.2
SL-00096,Laban,6.84,13,88.92,30,62.24,2022-09-09,UAE,Abu Dhabi,Hypermarket,Male,1.3
SL-00097,Soft drinks,4.21,21,88.41,0,88.41,2020-05-13,UAE,Ajman,Online,Female,2.9
SL-00098,Soft drinks,3.15,37,116.55,25,87.41,2022-12-19,UAE,Umm Al Quwain,Online,Male,1.9
SL-00099,Arabic tea,5.96,76,452.96,25,339.72,2021-09-02,UAE,Umm Al Quwain,Hypermarket,Male,3.2
SL-00100,Masala chai,7.13,10,71.3,0,71.3,2023-03-28,UAE,Abu Dhabi,Convenience Store,Female,4.3
SL-00101,Juice,4.75,89,422.75,10,380.48,2025-07-15,UAE,Fujairah,Online,Female,3.0
SL-00102,Juice,4.48,6,26.88,15,22.85,2022-07-26,UAE,Fujairah,Convenience Store,Female,1.1
SL-00103,Arabic coffee,13.36,74,988.64,20,790.91,2021-12-18,UAE,Dubai,Convenience Store,Female,4.1
SL-00104,Juice,7.11,57,405.27,10,364.74,2021-01-08,UAE,Abu Dhabi,Cafe,Male,4.3
SL-00105,Juice,6.09,43,261.87,10,235.68,2025-07-22,UAE,Fujairah,Supermarket,Female,2.3
SL-00106,Masala chai,6.31,52,328.12,30,229.68,2022-10-30,UAE,Umm Al Quwain,Cafe,Male,1.4
SL-00107,Masala chai,3.58,99,354.42,15,301.26,2025-03-07,UAE,Umm Al Quwain,Cafe,Female,1.0
SL-00108,Juice,4.33,67,290.11,10,261.1,2022-04-13,UAE,Ras Al Khaimah,Online,Female,4.0
SL-00109,Masala chai,5.75,37,212.75,15,180.84,2022-09-07,UAE,Fujairah,Online,Male,4.9
SL-00110,Arabic coffee,6.58,71,467.18,0,467.18,2021-04-09,UAE,Ras Al Khaimah,Online,Male,5.0
SL-00111,Juice,9.68,83,803.44,30,562.41,2023-01-24,UAE,Abu Dhabi,Online,Female,2.2
SL-00112,Juice,9.01,61,549.61,5,522.13,2025-09-12,UAE,Ajman,Cafe,Male,1.8
SL-00113,Arabic coffee,13.79,9,124.11,10,111.7,2022-12-30,UAE,Umm Al Quwain,Online,Male,4.2
SL-00114,Arabic tea,2.01,93,186.93,10,168.24,2021-08-31,UAE,Umm Al Quwain,Cafe,Female,3.6
SL-00115,Juice,7.23,45,325.35,10,292.82,2022-02-11,UAE,Ras Al Khaimah,Cafe,Male,4.7
SL-00116,Arabic coffee,7.39,50,369.5,5,351.02,2024-04-10,UAE,Umm Al Quwain,Online,Male,4.0
SL-00117,Juice,9.93,84,834.12,5,792.41,2023-09-21,UAE,Ajman,Supermarket,Male,4.9
SL-00118,Arabic tea,2.5,57,142.5,0,142.5,2021-09-24,UAE,Ras Al Khaimah,Online,Male,1.6
SL-00119,Camel milk,13.63,34,463.42,10,417.08,2025-12-25,UAE,Ras Al Khaimah,Online,Female,4.4
SL-00120,Juice,9.72,81,787.32,25,590.49,2020-10-07,UAE,Umm Al Quwain,Online,Female,1.1
SL-00121,Soft drinks,4.52,37,167.24,5,158.88,2021-02-15,UAE,Fujairah,Supermarket,Male,1.4
SL-00122,Juice,5.0,39,195.0,0,195.0,2024-03-15,UAE,Dubai,Convenience Store,Female,2.2
SL-00123,Juice,4.87,68,331.16,15,281.49,2024-04-15,UAE,Ras Al Khaimah,Hypermarket,Male,1.3
SL-00124,Laban,5.73,64,366.72,20,293.38,2022-11-11,UAE,Abu Dhabi,Hypermarket,Male,2.0
SL-00125,Arabic coffee,5.09,60,305.4,10,274.86,2023-11-16,UAE,Fujairah,Cafe,Male,2.8
SL-00126,Laban,4.2,55,231.0,25,173.25,2024-04-24,UAE,Sharjah,Online,Female,1.8
SL-00127,Arabic tea,4.42,31,137.02,15,116.47,2023-04-24,UAE,Ras Al Khaimah,Convenience Store,Female,5.0
SL-00128,Camel milk,19.74,85,1677.9,15,1426.21,2020-07-19,UAE,Sharjah,Supermarket,Female,3.7
SL-00129,Laban,5.98,37,221.26,30,154.88,2022-02-17,UAE,Umm Al Quwain,Hypermarket,Female,2.4
SL-00130,Laban,4.0,97,388.0,25,291.0,2020-06-10,UAE,Umm Al Quwain,Hypermarket,Female,4.6
SL-00131,Masala chai,6.94,5,34.7,20,27.76,2024-08-28,UAE,Sharjah,Hypermarket,Male,2.2
SL-00132,Soft drinks,2.8,70,196.0,10,176.4,2022-11-18,UAE,Ras Al Khaimah,Cafe,Female,4.3
SL-00133,Arabic tea,6.72,38,255.36,25,191.52,2020-11-04,UAE,Umm Al Quwain,Convenience Store,Female,2.9
SL-00134,Soft drinks,5.02,29,145.58,30,101.91,2024-02-07,UAE,Fujairah,Online,Female,4.2
SL-00135,Camel milk,17.49,2,34.98,10,31.48,2022-12-09,UAE,Ras Al Khaimah,Supermarket,Male,3.7
SL-00136,Laban,4.52,82,370.64,10,333.58,2023-09-05,UAE,Dubai,Hypermarket,Male,3.5
SL-00137,Laban,3.89,9,35.01,25,26.26,2024-07-30,UAE,Umm Al Quwain,Online,Female,2.2
SL-00138,Camel milk,9.68,5,48.4,10,43.56,2021-07-09,UAE,Ajman,Supermarket,Male,4.5
SL-00139,Juice,6.72,86,577.92,25,433.44,2021-09-24,UAE,Fujairah,Cafe,Male,4.0
SL-00140,Juice,7.93,63,499.59,20,399.67,2024-12-21,UAE,Ajman,Convenience Store,Male,2.5
SL-00141,Juice,9.7,47,455.9,0,455.9,2024-01-09,UAE,Fujairah,Convenience Store,Female,4.9
SL-00142,Camel milk,12.78,25,319.5,0,319.5,2020-03-28,UAE,Umm Al Quwain,Online,Male,1.8
SL-00143,Camel milk,17.44,32,558.08,5,530.18,2022-04-28,UAE,Umm Al Quwain,Cafe,Male,4.3
SL-00144,Laban,3.86,30,115.8,10,104.22,2023-02-09,UAE,Umm Al Quwain,Hypermarket,Female,3.4
SL-00145,Arabic tea,6.92,17,117.64,20,94.11,2021-06-23,UAE,Sharjah,Hypermarket,Male,4.5
SL-00146,Camel milk,12.3,31,381.3,20,305.04,2024-09-20,UAE,Sharjah,Supermarket,Male,1.2
SL-00147,Laban,3.45,9,31.05,15,26.39,2025-08-25,UAE,Ajman,Convenience Store,Female,1.4
SL-00148,Soft drinks,5.78,6,34.68,25,26.01,2020-05-07,UAE,Umm Al Quwain,Cafe,Male,3.6
SL-00149,Camel milk,19.98,52,1038.96,15,883.12,2020-10-28,UAE,Fujairah,Supermarket,Female,4.6
SL-00150,Camel milk,11.87,19,225.53,0,225.53,2023-08-24,UAE,Abu Dhabi,Convenience Store,Female,3.3
SL-00151,Juice,9.97,68,677.96,10,610.16,2021-04-13,UAE,Ajman,Cafe,Female,1.4
SL-00152,Arabic tea,5.27,99,521.73,20,417.38,2024-08-21,UAE,Fujairah,Hypermarket,Male,4.6
SL-00153,Masala chai,7.14,52,371.28,15,315.59,2022-11-10,UAE,Fujairah,Supermarket,Male,2.3
SL-00154,Masala chai,7.77,88,683.76,15,581.2,2021-01-30,UAE,Dubai,Supermarket,Female,1.4
SL-00155,Arabic coffee,12.39,17,210.63,20,168.5,2021-05-15,UAE,Dubai,Cafe,Female,3.2
SL-00156,Juice,6.12,86,526.32,30,368.42,2023-12-11,UAE,Ajman,Supermarket,Female,3.4
SL-00157,Camel milk,14.94,28,418.32,5,397.4,2024-02-14,UAE,Fujairah,Online,Male,1.4
SL-00158,Camel milk,17.15,74,1269.1,5,1205.65,2020-04-17,UAE,Umm Al Quwain,Online,Female,4.9
SL-00159,Laban,6.72,89,598.08,10,538.27,2023-10-23,UAE,Dubai,Hypermarket,Male,4.0
SL-00160,Masala chai,3.03,19,57.57,20,46.06,2020-05-05,UAE,Fujairah,Online,Male,4.0
SL-00161,Camel milk,16.95,28,474.6,15,403.41,2023-08-21,UAE,Ajman,Online,Male,2.5
SL-00162,Arabic tea,6.71,77,516.67,0,516.67,2020-11-30,UAE,Dubai,Hypermarket,Male,3.5
SL-00163,Masala chai,5.22,55,287.1,15,244.04,2025-09-29,UAE,Ras Al Khaimah,Online,Male,1.9
SL-00164,Camel milk,12.14,15,182.1,10,163.89,2020-07-05,UAE,Fujairah,Cafe,Male,3.7
SL-00165,Soft drinks,3.58,77,275.66,0,275.66,2021-07-16,UAE,Dubai,Hypermarket,Male,1.8
SL-00166,Arabic tea,3.28,42,137.76,0,137.76,2024-04-06,UAE,Dubai,Online,Female,1.7
SL-00167,Laban,5.81,65,377.65,20,302.12,2020-06-22,UAE,Umm Al Quwain,Convenience Store,Male,4.4
SL-00168,Juice,4.11,10,41.1,30,28.77,2024-09-06,UAE,Sharjah,Cafe,Male,2.6
SL-00169,Masala chai,3.58,3,10.74,10,9.67,2024-01-22,UAE,Abu Dhabi,Cafe,Male,3.8
SL-00170,Camel milk,13.24,14,185.36,5,176.09,2023-06-24,UAE,Ajman,Cafe,Male,1.3
SL-00171,Arabic coffee,8.4,43,361.2,30,252.84,2025-09-19,UAE,Abu Dhabi,Supermarket,Female,1.5
SL-00172,Soft drinks,5.62,45,252.9,10,227.61,2022-03-19,UAE,Fujairah,Hypermarket,Male,1.6
SL-00173,Soft drinks,4.41,98,432.18,30,302.53,2025-07-16,UAE,Fujairah,Supermarket,Male,4.1
SL-00174,Juice,8.53,98,835.94,20,668.75,2023-08-16,UAE,Ajman,Cafe,Female,4.9
SL-00175,Arabic tea,6.85,41,280.85,5,266.81,2023-01-30,UAE,Ajman,Supermarket,Male,3.5
SL-00176,Laban,3.22,65,209.3,0,209.3,2023-03-21,UAE,Sharjah,Online,Male,1.2
SL-00177,Camel milk,15.74,12,188.88,20,151.1,2020-06-17,UAE,Ras Al Khaimah,Cafe,Male,3.3
SL-00178,Juice,9.45,74,699.3,25,524.48,2020-09-10,UAE,Abu Dhabi,Convenience Store,Female,3.0
SL-00179,Juice,4.62,44,203.28,25,152.46,2024-11-28,UAE,Dubai,Cafe,Female,1.2
SL-00180,Juice,7.14,79,564.06,5,535.86,2023-10-17,UAE,Sharjah,Convenience Store,Female,2.5
SL-00181,Arabic coffee,10.98,81,889.38,25,667.04,2024-05-02,UAE,Sharjah,Supermarket,Male,3.2
SL-00182,Masala chai,4.26,85,362.1,20,289.68,2021-08-02,UAE,Umm Al Quwain,Hypermarket,Male,3.3
SL-00183,Masala chai,4.55,84,382.2,25,286.65,2020-12-13,UAE,Fujairah,Online,Male,3.8
SL-00184,Masala chai,5.79,83,480.57,30,336.4,2025-11-26,UAE,Sharjah,Hypermarket,Female,4.3
SL-00185,Camel milk,15.75,55,866.25,20,693.0,2022-05-27,UAE,Sharjah,Supermarket,Male,1.7
SL-00186,Masala chai,7.74,63,487.62,5,463.24,2021-02-18,UAE,Abu Dhabi,Hypermarket,Male,2.2
SL-00187,Laban,6.08,95,577.6,20,462.08,2024-03-23,UAE,Dubai,Convenience Store,Female,3.5
SL-00188,Soft drinks,2.65,89,235.85,30,165.1,2024-02-01,UAE,Ras Al Khaimah,Hypermarket,Female,1.2
SL-00189,Arabic coffee,12.2,57,695.4,20,556.32,2025-04-05,UAE,Sharjah,Online,Male,2.0
SL-00190,Arabic tea,2.97,87,258.39,20,206.71,2025-08-21,UAE,Ajman,Online,Female,4.1
SL-00191,Laban,4.67,21,98.07,30,68.65,2025-05-22,UAE,Abu Dhabi,Cafe,Male,2.0
SL-00192,Arabic tea,3.86,14,54.04,25,40.53,2021-10-18,UAE,Umm Al Quwain,Cafe,Female,2.1
SL-00193,Masala chai,5.25,66,346.5,5,329.18,2025-01-21,UAE,Umm Al Quwain,Online,Male,4.6
SL-00194,Masala chai,7.65,54,413.1,0,413.1,2020-11-30,UAE,Ajman,Cafe,Male,2.5
SL-00195,Masala chai,4.12,41,168.92,0,168.92,2023-03-21,UAE,Umm Al Quwain,Convenience Store,Female,1.6
SL-00196,Arabic tea,4.36,18,78.48,30,54.94,2020-11-20,UAE,Fujairah,Online,Male,1.0
SL-00197,Camel milk,11.07,20,221.4,20,177.12,2023-03-26,UAE,Fujairah,Cafe,Female,1.4
SL-00198,Soft drinks,3.2,7,22.4,5,21.28,2025-08-09,UAE,Ajman,Cafe,Male,1.4
SL-00199,Laban,5.14,81,416.34,20,333.07,2020-01-07,UAE,Ras Al Khaimah,Hypermarket,Female,2.2
SL-00200,Laban,4.41,74,326.34,15,277.39,2025-11-24,UAE,Abu Dhabi,Supermarket,Female,2.4
SL-00201,Laban,5.03,65,326.95,20,261.56,2024-05-03,UAE,Dubai,Online,Female,1.2
SL-00202,Masala chai,4.27,3,12.81,10,11.53,2021-02-28,UAE,Umm Al Quwain,Supermarket,Male,3.9
SL-00203,Arabic tea,4.91,97,476.27,10,428.64,2021-12-18,UAE,Abu Dhabi,Supermarket,Male,2.4
SL-00204,Arabic tea,5.9,60,354.0,25,265.5,2025-02-17,UAE,Ajman,Hypermarket,Female,1.3
SL-00205,Camel milk,11.52,6,69.12,30,48.38,2024-06-19,UAE,Abu Dhabi,Supermarket,Male,2.2
SL-00206,Arabic tea,4.72,33,155.76,0,155.76,2020-07-14,UAE,Umm Al Quwain,Hypermarket,Male,4.4
SL-00207,Arabic tea,5.28,35,184.8,0,184.8,2024-12-06,UAE,Umm Al Quwain,Convenience Store,Male,2.6
SL-00208,Juice,6.03,24,144.72,15,123.01,2022-12-28,UAE,Fujairah,Online,Male,4.2
SL-00209,Arabic tea,2.41,55,132.55,0,132.55,2023-04-18,UAE,Ajman,Cafe,Other,1.7
SL-00210,Masala chai,3.51,42,147.42,25,110.57,2021-11-13,UAE,Sharjah,Convenience Store,Male,3.9
SL-00211,Arabic coffee,9.44,58,547.52,0,547.52,2020-08-22,UAE,Fujairah,Convenience Store,Female,2.7
SL-00212,Camel milk,16.05,52,834.6,10,751.14,2024-11-29,UAE,Ras Al Khaimah,Hypermarket,Female,1.6
SL-00213,Camel milk,9.51,31,294.81,30,206.37,2020-05-12,UAE,Fujairah,Convenience Store,Male,4.8
SL-00214,Laban,3.61,58,209.38,10,188.44,2025-12-08,UAE,Sharjah,Online,Female,3.3
SL-00215,Masala chai,4.99,84,419.16,10,377.24,2025-10-21,UAE,Abu Dhabi,Supermarket,Male,1.7
SL-00216,Juice,9.48,16,151.68,10,136.51,2023-03-15,UAE,Umm Al Quwain,Convenience Store,Female,1.9
SL-00217,Arabic coffee,14.16,63,892.08,5,847.48,2024-12-28,UAE,Dubai,Hypermarket,Female,2.8
SL-00218,Camel milk,17.73,41,726.93,25,545.2,2023-05-13,UAE,Sharjah,Supermarket,Female,2.2
SL-00219,Arabic tea,2.79,91,253.89,25,190.42,2021-05-12,UAE,Fujairah,Hypermarket,Female,3.0
SL-00220,Soft drinks,5.17,31,160.27,30,112.19,2025-03-29,UAE,Ajman,Supermarket,Male,3.3
SL-00221,Arabic tea,6.92,17,117.64,20,94.11,2025-05-14,UAE,Dubai,Supermarket,Male,5.0
SL-00222,Laban,4.64,53,245.92,30,172.14,2020-10-30,UAE,Ras Al Khaimah,Supermarket,Male,2.3
SL-00223,Juice,6.79,67,454.93,10,409.44,2021-06-12,UAE,Abu Dhabi,Cafe,Female,1.7
SL-00224,Juice,7.02,8,56.16,30,39.31,2023-08-14,UAE,Dubai,Cafe,Male,1.7
SL-00225,Arabic coffee,7.25,67,485.75,10,437.17,2023-01-29,UAE,Umm Al Quwain,Supermarket,Male,3.5
SL-00226,Soft drinks,4.5,79,355.5,20,284.4,2021-09-23,UAE,Dubai,Cafe,Female,3.4
SL-00227,Soft drinks,4.63,93,430.59,20,344.47,2020-11-28,UAE,Sharjah,Cafe,Male,4.5
SL-00228,Camel milk,19.38,99,1918.62,20,1534.9,2020-05-04,UAE,Sharjah,Hypermarket,Female,2.7
SL-00229,Juice,9.33,70,653.1,10,587.79,2024-07-21,UAE,Fujairah,Convenience Store,Male,4.2
SL-00230,Masala chai,5.27,89,469.03,0,469.03,2023-10-25,UAE,Abu Dhabi,Online,Male,2.9
SL-00231,Laban,3.57,92,328.44,10,295.6,2024-02-26,UAE,Fujairah,Convenience Store,Female,1.5
SL-00232,Laban,5.25,41,215.25,5,204.49,2021-01-31,UAE,Ajman,Supermarket,Male,2.0
SL-00233,Camel milk,11.48,50,574.0,30,401.8,2021-10-16,UAE,Ras Al Khaimah,Online,Male,4.5
SL-00234,Arabic tea,3.64,74,269.36,25,202.02,2025-10-09,UAE,Sharjah,Hypermarket,Female,3.0
SL-00235,Juice,6.99,40,279.6,15,237.66,2022-09-13,UAE,Dubai,Supermarket,Female,3.0
SL-00236,Soft drinks,4.33,7,30.31,0,30.31,2025-04-11,UAE,Sharjah,Online,Female,4.4
